( having * having | select creation , name , budget_in_billions from department <n>
( having * having ) having | select creation from department where head > value <n>
( having * having ) having | select name from head where born_state ! = value <n>
( having * having ) having ! ( having * having ) having | select count ( * ) from head where age > value intersect select creation from department where born_state < value <n>
( having * having | select count ( * ) from farm <n>
( having * having name born_state having | select theme from farm_competition order by year asc <n>
( having * having name born_state having | select theme from farm_competition order by year asc <n>
( having * having | select hosts from farm_competition <n>
( having * having | select count ( * ) from farm <n>
( having * having name born_state having value by having | select official_name , status from city order by population desc limit value <n>
( having * having , born_state having order having | select status from city group by status having count ( * ) > value <n>
( having * having , born_state having name born_state having value by having | select status from city group by status order by count ( * ) desc limit value <n>
( having * having , born_state having | select status , avg ( population ) from city group by status <n>
( having * having , born_state having name born_state having value by having | select status from city group by status order by count ( * ) desc limit value <n>
( having * having ) having ( having * having | select official_name from city where city_id not in ( select host_city_id from farm_competition ) <n>
( having * having ) having head having | select official_name from city where population > value or population < value <n>
( having * having , born_state having name born_state having value by having | select t2 . student_details from student_course_registrations as t1 join students as t2 on t1 . student_id = t2 . student_id group by t1 . student_id order by count ( * ) desc limit value <n>
( having * having ) having | select t2 . candidate_id from people as t1 join candidates as t2 on t1 . person_id = t2 . person_id where t1 . email_address = value <n>
( having * having = ( having * having | select student_id from students except select student_id from students <n>
( having * having | select t2 . first_name , t2 . last_name from candidates as t1 join people as t2 on t1 . person_id = t2 . person_id <n>
( having * having | select count ( * ) from students <n>
( having * having ) having | select t2 . candidate_id from people as t1 join candidates as t2 on t1 . person_id = t2 . person_id where t1 . email_address = value <n>
( having * having name born_state having value by having | select t2 . student_details from student_course_registrations as t1 join students as t2 on t1 . student_id = t2 . student_id order by t1 . registration_date desc limit value <n>
( having * having | select count ( * ) from students <n>
( having * having ) having | select student_id from student_course_attendance where course_id = value <n>
( having * having ) having | select t2 . candidate_id from people as t1 join candidates as t2 on t1 . person_id = t2 . person_id where t1 . email_address = value <n>
( having * having name born_state having value by having | select t2 . student_details from student_course_registrations as t1 join students as t2 on t1 . student_id = t2 . student_id order by t1 . registration_date desc limit value <n>
( having * having | select student_id from student_course_attendance <n>
( having * having name born_state having | select first_name from people order by first_name asc <n>
( having * having ) having head having | select t2 . student_id from courses as t1 join student_course_attendance as t2 on t1 . course_id = t2 . course_id where t1 . course_name = value or t1 . course_name = value <n>
( having * having = ( having * having | select student_id from students except select student_id from students <n>
( having * having name born_state having | select first_name from people order by first_name asc <n>
( having * having ) having | select date from weather where zip_code = value <n>
( having * having , born_state having | select zip_code , count ( * ) from weather group by zip_code <n>
( having * having name born_state having value by having | select id , duration from trip order by duration desc limit value <n>
( having * having name born_state having value by having | select id , duration from trip order by duration desc limit value <n>
( having * having , born_state having | select zip_code , avg ( mean_humidity ) from weather group by zip_code <n>
( having group having * having | select count ( distinct bike_id ) from trip <n>
( having * having ) having | select count ( * ) from trip as t1 join station as t2 on t1 . end_station_id = t2 . id where t2 . installation_date = value <n>
( having * having ) having , born_state having name born_state having value by having | select t1 . id from trip as t1 join station as t2 on t1 . id = t2 . station_id where t2 . zip_code = value group by t1 . id order by count ( * ) desc limit value <n>
( having * having ) having , born_state having name born_state having value by having | select bike_id from trip where zip_code = value group by bike_id order by count ( * ) desc limit value <n>
( having * having name born_state having value by having | select id , duration from trip order by duration desc limit value <n>
( having * having ) having , born_state having order having | select zip_code from weather where zip_code = value group by zip_code having count ( * ) > = value <n>
( having * having name born_state having value by having | select id , duration from trip order by duration desc limit value <n>
( having * having ) having | select avg ( lat ) , avg ( long ) from station where city = value <n>
( having * having | select count ( * ) from trip <n>
( having * having ) having ( having * having ) having | select id from trip where duration > = ( select avg ( duration ) from trip where zip_code = value ) <n>
( having * having ) having ( having * having ) having | select id from trip where duration > = ( select avg ( duration ) from trip where zip_code = value ) <n>
( having * having name born_state having value by having | select id , duration from trip order by duration desc limit value <n>
( having * having ) having | select count ( * ) from trip as t1 join station as t2 on t1 . end_station_id = t2 . id where t2 . installation_date = value <n>
( having * having ) having from having | select count ( * ) from weather where mean_humidity > value and mean_visibility_miles > value <n>
( having * having name born_state having value by having | select id , duration from trip order by duration desc limit value <n>
( having * having name born_state having value by having | select id , duration from trip order by duration desc limit value <n>
( having * having , born_state having order having | select city from station group by city having count ( * ) > = value <n>
( having * having name born_state having value by having | select id , duration from trip order by duration desc limit value <n>
( having * having name born_state having value by having | select id , duration from trip order by duration desc limit value <n>
( having * having ) having | select avg ( lat ) , avg ( long ) from station where city = value <n>
( having * having ) having | select date from weather where zip_code = value <n>
( having * having ) having from having | select count ( * ) from weather where mean_humidity > value and mean_visibility_miles > value <n>
( having * having ) having from having | select count ( * ) from weather where mean_humidity > value and mean_visibility_miles > value <n>
( having * having , born_state having order having | select city from station group by city having count ( * ) > = value <n>
( having * having , born_state having order having | select start_station_id , start_station_name from trip group by start_station_name having count ( * ) > = value <n>
( having * having ) having from having | select count ( * ) from weather where mean_humidity > value and mean_visibility_miles > value <n>
( having * having | select count ( * ) from publication <n>
( having * having ) having | select t2 . writer from book as t1 join publication as t2 on t1 . book_id = t2 . book_id where t1 . writer = value <n>
( having * having ) having | select writer from book where writer = value <n>
( having * having ) having | select writer from book where writer = value <n>
( having * having , born_state having | select writer , count ( * ) from book group by writer <n>
( having * having = ( having * having | select writer from book except select t2 . title from book as t1 join publication as t2 on t1 . book_id = t2 . book_id <n>
( having * having ) having head having | select writer from book where writer = value or writer = value <n>
( having * having name born_state having | select name from actor order by name asc <n>
( having * having , born_state having | select nominee , count ( * ) from musical group by nominee <n>
( having * having name born_state having value | select t1 . name from actor as t1 join musical as t2 on t1 . musical_id = t2 . musical_id order by t2 . year desc <n>
( having * having ) having | select name from actor where age ! = value <n>
( having * having ) having ( having * having | select name from musical where musical_id not in ( select musical_id from actor ) <n>
( having * having ) having | select t2 . name from actor as t1 join musical as t2 on t1 . musical_id = t2 . musical_id where t1 . name = value <n>
( having * having ) having | select t2 . name from actor as t1 join musical as t2 on t1 . musical_id = t2 . musical_id where t1 . name = value <n>
( having * having , born_state having order having | select nominee from musical group by nominee having count ( * ) > = value <n>
( having * having name born_state having value by having | select t1 . name from actor as t1 join musical as t2 on t1 . musical_id = t2 . musical_id order by t2 . name desc limit value <n>
( having * having , born_state having order having | select nominee from musical group by nominee having count ( * ) > = value <n>
( having * having = ( having * having | select name from musical except select t2 . name from actor as t1 join musical as t2 on t1 . musical_id = t2 . musical_id <n>
( having * having ) having head having | select nominee from musical where award = value or award = value <n>
( having * having | select count ( * ) from follows <n>
( having * having | select count ( * ) from follows <n>
( having * having ) having | select partitionid from user_profiles where name = value <n>
